lead_id,submission_date,email,phone,source,status,value
1,2024-03-10,user1@example.com,+79376660984,Referral,Unqualified,0.0
2,2024-01-21,user2@example.com,+79123185482,Organic Search,Qualified,4544.35
3,2024-01-03,user3@example.com,+79967218811,Google Ads,Qualified,6767.61
4,2024-03-20,user4@example.com,+79244967131,Google Ads,New,0.0
5,2024-03-10,user5@example.com,+79916828834,Facebook Ads,Contacted,0.0
6,2024-07-02,user6@example.com,+79758115356,Referral,New,0.0
7,2024-04-14,user7@example.com,+79134540062,Facebook Ads,New,0.0
8,2024-02-14,user8@example.com,+79482830320,Organic Search,Qualified,38979.56
9,2024-03-22,user9@example.com,+79196452382,Google Ads,Unqualified,0.0
10,2024-01-06,user10@example.com,+79941690348,Organic Search,Qualified,19952.05
11,2024-07-09,user11@example.com,+79736898863,Direct,Qualified,33498.73
12,2024-05-06,user12@example.com,+79477252228,Organic Search,Contacted,0.0
13,2024-02-09,user13@example.com,+79636837284,Google Ads,Contacted,0.0
14,2024-07-01,user14@example.com,+79415448494,Direct,Unqualified,0.0
15,2024-02-23,user15@example.com,+79997049385,Referral,Unqualified,0.0
16,2024-04-07,user16@example.com,+79695256559,Facebook Ads,Unqualified,0.0
17,2024-01-23,user17@example.com,+79166415739,Direct,Unqualified,0.0
18,2024-05-11,user18@example.com,+79770286474,Direct,New,0.0
19,2024-05-19,user19@example.com,+79441712785,Direct,Qualified,15741.42
20,2024-02-16,user20@example.com,+79153431292,Google Ads,Qualified,20660.84
21,2024-01-27,user21@example.com,+79764954794,Google Ads,Qualified,14639.49
22,2024-04-22,user22@example.com,+79390671267,Facebook Ads,Qualified,48608.06
23,2024-06-14,user23@example.com,+79630200830,Direct,Contacted,0.0
24,2024-01-08,user24@example.com,+79741674864,Facebook Ads,New,0.0
25,2024-03-08,user25@example.com,+79287747038,Referral,New,0.0
26,2024-06-05,user26@example.com,+79198375819,Facebook Ads,New,0.0
27,2024-01-17,user27@example.com,+79953400939,Facebook Ads,Unqualified,0.0
28,2024-06-03,user28@example.com,+79814021423,Facebook Ads,New,0.0
29,2024-06-27,user29@example.com,+79797579911,Referral,Unqualified,0.0
30,2024-03-12,user30@example.com,+79504989253,Referral,Unqualified,0.0
31,2024-02-11,user31@example.com,+79177565560,Direct,New,0.0
32,2024-03-23,user32@example.com,+79351312826,Direct,Unqualified,0.0
33,2024-03-23,user33@example.com,+79717100481,Organic Search,Unqualified,0.0
34,2024-02-25,user34@example.com,+79831393123,Referral,New,0.0
35,2024-04-15,user35@example.com,+79787613467,Direct,New,0.0
36,2024-04-29,user36@example.com,+79350146208,Direct,New,0.0
37,2024-05-27,user37@example.com,+79166423418,Facebook Ads,Contacted,0.0
38,2024-01-13,user38@example.com,+79712212655,Google Ads,Qualified,32974.08
39,2024-03-21,user39@example.com,+79737471709,Referral,Unqualified,0.0
40,2024-01-14,user40@example.com,+79898769251,Referral,Unqualified,0.0
41,2024-04-06,user41@example.com,+79513672428,Direct,New,0.0
42,2024-03-03,user42@example.com,+79189427994,Referral,New,0.0
43,2024-04-02,user43@example.com,+79999212801,Organic Search,New,0.0
44,2024-05-21,user44@example.com,+79452000244,Facebook Ads,Unqualified,0.0
45,2024-02-26,user45@example.com,+79452253600,Google Ads,Unqualified,0.0
46,2024-07-09,user46@example.com,+79735041532,Facebook Ads,New,0.0
47,2024-06-06,user47@example.com,+79808671383,Referral,New,0.0
48,2024-05-17,user48@example.com,+79188412599,Facebook Ads,Contacted,0.0
49,2024-07-04,user49@example.com,+79802561105,Google Ads,Contacted,0.0
50,2024-03-20,user50@example.com,+79769612713,Organic Search,Contacted,0.0
51,2024-05-24,user51@example.com,+79718859631,Organic Search,Unqualified,0.0
52,2024-07-17,user52@example.com,+79342043796,Organic Search,Unqualified,0.0
53,2024-01-05,user53@example.com,+79203736018,Facebook Ads,New,0.0
54,2024-05-17,user54@example.com,+79152423992,Google Ads,Unqualified,0.0
55,2024-06-06,user55@example.com,+79454449634,Referral,Qualified,22624.8
56,2024-06-09,user56@example.com,+79391550192,Direct,Qualified,14343.62
57,2024-01-04,user57@example.com,+79235121569,Referral,Qualified,24706.85
58,2024-03-13,user58@example.com,+79942709674,Facebook Ads,New,0.0
59,2024-02-13,user59@example.com,+79669133540,Direct,Unqualified,0.0
60,2024-07-15,user60@example.com,+79186805670,Referral,New,0.0
61,2024-05-27,user61@example.com,+79473503967,Direct,Unqualified,0.0
62,2024-02-19,user62@example.com,+79251485483,Direct,Qualified,21198.75
63,2024-07-12,user63@example.com,+79780773611,Direct,Unqualified,0.0
64,2024-02-09,user64@example.com,+79523620612,Referral,Contacted,0.0
65,2024-02-15,user65@example.com,+79480183344,Organic Search,New,0.0
66,2024-01-10,user66@example.com,+79737359757,Google Ads,Contacted,0.0
67,2024-07-09,user67@example.com,+79472761269,Referral,Unqualified,0.0
68,2024-02-04,user68@example.com,+79467432709,Organic Search,New,0.0
69,2024-07-03,user69@example.com,+79270272904,Organic Search,Contacted,0.0
70,2024-05-19,user70@example.com,+79406220809,Organic Search,New,0.0
71,2024-05-01,user71@example.com,+79462454915,Direct,Contacted,0.0
72,2024-05-28,user72@example.com,+79553176228,Direct,Qualified,5804.7
73,2024-02-11,user73@example.com,+79502875109,Google Ads,Unqualified,0.0
74,2024-07-07,user74@example.com,+79996435153,Organic Search,Qualified,5979.13
75,2024-04-16,user75@example.com,+79770263312,Organic Search,Contacted,0.0
76,2024-04-24,user76@example.com,+79762823168,Referral,Unqualified,0.0
77,2024-05-10,user77@example.com,+79631138097,Referral,Contacted,0.0
78,2024-01-25,user78@example.com,+79386888330,Organic Search,New,0.0
79,2024-01-24,user79@example.com,+79178911501,Organic Search,Qualified,37823.37
80,2024-01-06,user80@example.com,+79782157777,Direct,Contacted,0.0
81,2024-03-13,user81@example.com,+79188148406,Google Ads,New,0.0
82,2024-06-25,user82@example.com,+79356194627,Google Ads,Unqualified,0.0
83,2024-07-13,user83@example.com,+79300941421,Referral,Unqualified,0.0
84,2024-05-08,user84@example.com,+79483467456,Direct,Qualified,25246.79
85,2024-06-21,user85@example.com,+79301803962,Google Ads,Qualified,44937.63
86,2024-04-17,user86@example.com,+79672868132,Referral,Unqualified,0.0
87,2024-01-29,user87@example.com,+79599877748,Direct,Contacted,0.0
88,2024-07-20,user88@example.com,+79849087714,Organic Search,Qualified,47653.1
89,2024-02-19,user89@example.com,+79845936150,Organic Search,Unqualified,0.0
90,2024-02-18,user90@example.com,+79246066897,Organic Search,Contacted,0.0
91,2024-06-16,user91@example.com,+79249285733,Facebook Ads,New,0.0
92,2024-04-24,user92@example.com,+79822698318,Organic Search,Unqualified,0.0
93,2024-05-17,user93@example.com,+79394161441,Direct,Qualified,6232.3
94,2024-05-22,user94@example.com,+79458393802,Facebook Ads,Qualified,32989.07
95,2024-04-24,user95@example.com,+79301154458,Organic Search,Contacted,0.0
96,2024-04-20,user96@example.com,+79709437523,Direct,Contacted,0.0
97,2024-04-19,user97@example.com,+79239771054,Direct,Contacted,0.0
98,2024-07-07,user98@example.com,+79835172443,Organic Search,Qualified,15575.69
99,2024-07-21,user99@example.com,+79633947281,Organic Search,New,0.0
100,2024-06-20,user100@example.com,+79285502335,Direct,New,0.0
101,2024-06-22,user101@example.com,+79466688147,Referral,New,0.0
102,2024-02-22,user102@example.com,+79934771265,Organic Search,Qualified,5387.84
103,2024-02-28,user103@example.com,+79869539610,Referral,Contacted,0.0
104,2024-06-29,user104@example.com,+79343593124,Direct,Unqualified,0.0
105,2024-06-24,user105@example.com,+79339334201,Organic Search,Contacted,0.0
106,2024-05-28,user106@example.com,+79636063219,Facebook Ads,Contacted,0.0
107,2024-06-11,user107@example.com,+79919849061,Facebook Ads,Contacted,0.0
108,2024-03-14,user108@example.com,+79619919999,Direct,Unqualified,0.0
109,2024-04-25,user109@example.com,+79640133770,Referral,Qualified,28773.74
110,2024-04-20,user110@example.com,+79381520686,Facebook Ads,Unqualified,0.0
111,2024-01-02,user111@example.com,+79783258272,Referral,Unqualified,0.0
112,2024-01-15,user112@example.com,+79441298288,Referral,Contacted,0.0
113,2024-06-11,user113@example.com,+79550599521,Direct,Unqualified,0.0
114,2024-06-23,user114@example.com,+79563264876,Facebook Ads,Qualified,41062.13
115,2024-03-27,user115@example.com,+79546886717,Facebook Ads,New,0.0
116,2024-02-26,user116@example.com,+79659535075,Referral,New,0.0
117,2024-01-08,user117@example.com,+79369047850,Direct,Contacted,0.0
118,2024-06-10,user118@example.com,+79478031884,Direct,Unqualified,0.0
119,2024-07-09,user119@example.com,+79979164100,Referral,Contacted,0.0
120,2024-03-13,user120@example.com,+79395834148,Direct,Unqualified,0.0
121,2024-02-24,user121@example.com,+79925409588,Facebook Ads,Qualified,46797.52
122,2024-01-30,user122@example.com,+79448142381,Organic Search,Qualified,2277.65
123,2024-05-18,user123@example.com,+79405950528,Facebook Ads,Unqualified,0.0
124,2024-02-02,user124@example.com,+79626202182,Google Ads,Unqualified,0.0
125,2024-07-10,user125@example.com,+79999234118,Google Ads,Qualified,42344.88
126,2024-05-30,user126@example.com,+79831191735,Facebook Ads,New,0.0
127,2024-03-27,user127@example.com,+79267107016,Facebook Ads,New,0.0
128,2024-01-12,user128@example.com,+79243965473,Referral,Qualified,35412.61
129,2024-04-10,user129@example.com,+79846530392,Direct,New,0.0
130,2024-05-27,user130@example.com,+79191557394,Facebook Ads,Unqualified,0.0
131,2024-02-14,user131@example.com,+79953614198,Referral,Qualified,42454.45
132,2024-05-23,user132@example.com,+79972590389,Organic Search,Unqualified,0.0
133,2024-04-09,user133@example.com,+79462686079,Direct,Contacted,0.0
134,2024-02-17,user134@example.com,+79781979449,Direct,Qualified,1619.98
135,2024-02-12,user135@example.com,+79634260692,Direct,New,0.0
136,2024-05-18,user136@example.com,+79659798767,Direct,Contacted,0.0
137,2024-05-13,user137@example.com,+79347872483,Direct,Qualified,40477.79
138,2024-05-16,user138@example.com,+79908078281,Organic Search,Contacted,0.0
139,2024-01-04,user139@example.com,+79584802028,Referral,New,0.0
140,2024-04-03,user140@example.com,+79404443969,Google Ads,New,0.0
141,2024-02-20,user141@example.com,+79798900424,Organic Search,Qualified,44945.93
142,2024-06-01,user142@example.com,+79996372151,Direct,Qualified,30247.34
143,2024-02-22,user143@example.com,+79118749347,Google Ads,Unqualified,0.0
